#     grain ID         completeness                 chi2                xi[0]                xi[1]                xi[2]            tVec_c[0]            tVec_c[1]            tVec_c[2]            vInv_s[0]            vInv_s[1]            vInv_s[2]    vInv_s[4]*sqrt(2)    vInv_s[5]*sqrt(2)    vInv_s[6]*sqrt(2)           ln(V[0,0])           ln(V[1,1])           ln(V[2,2])           ln(V[1,2])           ln(V[0,2])           ln(V[0,1])
             0                    1     0.00224068125307       0.383583147971      -0.707296390256      0.0348757640164       0.448592811368      -0.356893511407       0.117590500888        1.00177485355       0.994816796152        1.00133712728    -0.00105836000592   -4.85213086873e-05    0.000369335785686    -0.00177324563547     0.00519699926773    -0.00133595303184    0.000749813799272    3.41585930457e-05   -0.000261593918525
             1                    1    6.17134577657e-05       0.247499405335       -0.74972974954      -0.117672404186     -0.0781472550646      -0.375078673232      -0.131218021812        1.00148333489       0.994954995892         1.0014318983   -0.000315031451472   -3.53220399399e-05   -0.000133690777347    -0.00148223105454      0.0050578025554    -0.00143084895049    0.000223166002898     2.4950645601e-05    9.47054296698e-05
             2                    1    2.72987070645e-05       0.411385763407      -0.640259799758       0.235938550834     -0.0175366201708      -0.427807758965      -0.282798448518        1.00130713711       0.995845421592        1.00124737028   -0.000779245219492   -0.000294777453074   -0.000312393178146    -0.00130623744472     0.00416340969955    -0.00124641930253    0.000551836159727    0.000208234196529    0.000221268344616
             3                    1    5.03588479296e-05      -0.572145720903       -1.45903551574      0.0765631501651       0.414969020693      0.0552197449616      -0.339656197101        1.00200221531       0.994780717032        1.00133309311    -0.00050809442453    0.000245375199007    -0.00119488547808    -0.00199984135858     0.00523337486064    -0.00133212571349    0.000359904488012   -0.000173065686261    0.000846245611651
             4                    1    2.42909322578e-05      -0.455266892664       -1.44104858272      0.0729808751073       0.176945255968      -0.135956525371      -0.429087352528        1.00168272747       0.995447953577        1.00121365218   -0.000313852105443   -0.000297331354699    -0.00131282318489    -0.00168085998429     0.00456289633947    -0.00121286956886    0.000222396394438    0.000210044176089    0.000929666565606
             5                    1    2.06254100361e-05       0.650987860284      -0.295331478724       0.307920656531      -0.351873971384      0.0632712838248       0.260208579278        1.00054361402       0.996526652519        1.00138042221   -0.000407152308635   -0.000335085221317    0.000336756434059   -0.000543409907865     0.00347946361584    -0.00137940084102    0.000288174096821    0.000236679025671   -0.000238438282093
             6                    1    2.66526772153e-05       0.800655616897      -0.371261536304       0.195461026886       0.446933354835     -0.0631434847696      -0.143573957126        1.00147605672       0.996140383983        1.00019780174    -0.00151877943766     0.00011301619759    0.000356144745646    -0.00147493349314     0.00386769498979   -0.000197200971041     0.00107592112816   -7.99831605179e-05   -0.000252176528734
             7                    1    3.18514647683e-05       0.766115688389      -0.892297071163       0.374918142764       0.351746784822       0.273448825294      -0.063306718951         1.0008257028       0.996437123746        1.00075287231   -0.000665206154072    0.000137707605422    0.000783004855829    -0.00082520387932     0.00356950344814   -0.000752473519289    0.000471061395533   -9.74275914419e-05   -0.000554450747692
             8                    1    2.00250847891e-05       0.682738409149      -0.973711492125       0.200261554287       0.216214454902       -0.24209912657    -0.00862113904996        1.00111844814       0.995999465896        1.00103335791   -0.000703870848326   -0.000225349940832    0.000443531636669    -0.00111776125113     0.00400873147345    -0.00103268769029    0.000498427445601     0.00015909709016   -0.000314037849568
             9                    1    4.03161074012e-05       0.507053659524       0.801225788857      -0.482449039545     -0.0538367233273      -0.415506363158        0.46444464084        1.00076020854       0.996135842246        1.00121017801   -0.000866542337879    9.46590646304e-05   -0.000285090188268   -0.000759897143406     0.00387185185137    -0.00120925620317    0.000613546791898   -6.68063599407e-05    0.000201882409794
